GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jgoslin-parsers,org.lifstools.jgoslin.domain,FattyAcid,76,909,21,97,11,155,19,65,1,22
jgoslin-parsers,org.lifstools.jgoslin.domain,AcylAlkylGroup,44,180,6,20,7,29,7,15,3,6
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidSpeciesInfo,36,381,1,27,15,65,11,24,10,11
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidSpecies,53,369,17,41,6,58,15,25,1,9
jgoslin-parsers,org.lifstools.jgoslin.domain,Adduct,75,418,9,5,14,51,12,8,5,8
jgoslin-parsers,org.lifstools.jgoslin.domain,HeadgroupDecorator,9,191,2,18,3,30,3,15,1,7
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidClasses,15,509,4,36,2,84,4,22,0,6
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidException,7,9,0,0,4,4,2,2,2,2
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidCategory,6,104,1,3,1,21,1,6,0,5
jgoslin-parsers,org.lifstools.jgoslin.domain,KnownFunctionalGroups,0,193,0,16,0,34,0,12,0,4
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidClassMeta,24,27,0,0,8,10,8,1,8,1
jgoslin-parsers,org.lifstools.jgoslin.domain,StringFunctions,3,272,7,41,0,62,7,27,0,10
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidAdduct,126,211,18,16,11,46,20,17,8,12
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidStructureDefined,0,42,0,3,0,11,0,7,0,5
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidMolecularSpecies,30,244,5,32,7,54,8,20,3,6
jgoslin-parsers,org.lifstools.jgoslin.domain,Elements,3,553,0,0,1,77,1,1,1,1
jgoslin-parsers,org.lifstools.jgoslin.domain,ElementTable,53,178,2,6,9,33,5,17,4,14
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidParsingException,7,9,0,0,4,4,2,2,2,2
jgoslin-parsers,org.lifstools.jgoslin.domain,Element,0,117,0,0,0,2,0,1,0,1
jgoslin-parsers,org.lifstools.jgoslin.domain,UnsupportedLipidException,16,0,0,0,8,0,4,0,4,0
jgoslin-parsers,org.lifstools.jgoslin.domain,GenericList,0,3,0,0,0,1,0,1,0,1
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidSnPosition,0,60,0,5,0,15,0,8,0,5
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidLevel,0,90,0,2,0,15,0,4,0,3
jgoslin-parsers,org.lifstools.jgoslin.domain,Dictionary,0,3,0,0,0,1,0,1,0,1
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidFaBondType,0,63,0,0,0,11,0,1,0,1
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidFullStructure,0,42,0,3,0,11,0,7,0,5
jgoslin-parsers,org.lifstools.jgoslin.domain,CarbonChain,0,98,0,4,0,13,0,7,0,5
jgoslin-parsers,org.lifstools.jgoslin.domain,Headgroup,41,459,4,56,15,87,11,43,7,17
jgoslin-parsers,org.lifstools.jgoslin.domain,DoubleBonds,12,77,1,3,1,22,1,9,0,8
